10642 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
5262 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
2189 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
3555 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
5919 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
625 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
720 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
393 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
16833 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
2276 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
2357 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
5241 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
4145 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
22231 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
8908 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
3360 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
4638 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
7958 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
4802 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
19419 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
1961 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
10677 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
14821 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
20464 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
15553 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
27950 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.5, 0.5], solved = true
1655 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
419 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
