2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 35, mines = 61, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
7 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
7 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
7 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
7 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
6 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 40, mines = 80, solved = true
