15 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 90, mines = 360, solved = true
19 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 100, mines = 400, solved = true
14 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 100, mines = 400, solved = true
21 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 100, mines = 400, solved = true
33 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 100, mines = 400, solved = true
21 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 100, mines = 400, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 90, mines = 405, solved = true
10 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 90, mines = 405, solved = true
22 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 90, mines = 405, solved = true
53 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 90, mines = 405, solved = true
27 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 90, mines = 405, solved = true
22 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 100, mines = 450, solved = true
40 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 100, mines = 450, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 100, mines = 450, solved = true
15 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 100, mines = 450, solved = true
32 ms, AutomatonSolveMineMoveGenerator,  x = 90, y = 100, mines = 450, solved = true
37 ms, AutomatonSolveMineMoveGenerator,  x = 100, y = 100, mines = 500, solved = true
26 ms, AutomatonSolveMineMoveGenerator,  x = 100, y = 100, mines = 500, solved = true
22 ms, AutomatonSolveMineMoveGenerator,  x = 100, y = 100, mines = 500, solved = true
20 ms, AutomatonSolveMineMoveGenerator,  x = 100, y = 100, mines = 500, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 100, y = 100, mines = 500, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 10, solved = true
3106 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 10, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 20, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 20, solved = true
13366 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 30, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 30, solved = true
35537 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 30, solved = true
35499 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 30, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 30, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 40, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 40, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 40, solved = true
71537 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 40, solved = true
71694 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 40, solved = true
119206 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 50, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 50, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 50, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 50, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 50, solved = true
175818 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 60, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 60, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 60, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 60, solved = true
